slug,score,critical,high,medium,low,info,ai_authored_percent,url,report_html,report_json,notes
AprilNEA-AChat,100,0,0,0,0,1,10.9,https://github.com/AprilNEA/AChat.git,AprilNEA-AChat.html,AprilNEA-AChat.json,
codexu-note-gen,68,0,7,1,11,0,0.6,https://github.com/codexu/note-gen.git,codexu-note-gen.html,codexu-note-gen.json,
jsynowiec-node-typescript-boilerplate,100,0,0,0,0,0,10,https://github.com/jsynowiec/node-typescript-boilerplate.git,jsynowiec-node-typescript-boilerplate.html,jsynowiec-node-typescript-boilerplate.json,
juicycleff-ultimate-backend,100,0,0,0,0,1,0,https://github.com/juicycleff/ultimate-backend.git,juicycleff-ultimate-backend.html,juicycleff-ultimate-backend.json,
didi-xiaoju-survey,100,0,0,0,0,3,0,https://github.com/didi/xiaoju-survey.git,didi-xiaoju-survey.html,didi-xiaoju-survey.json,
kite-org-kite,100,0,0,0,0,0,10.1,https://github.com/kite-org/kite.git,kite-org-kite.html,kite-org-kite.json,
triggerdotdev-trigger.dev,35,1,5,18,13,87,35.7,https://github.com/triggerdotdev/trigger.dev.git,triggerdotdev-trigger.dev.html,triggerdotdev-trigger.dev.json,
builderz-labs-mission-control,95,0,0,0,13,25,10.2,https://github.com/builderz-labs/mission-control.git,builderz-labs-mission-control.html,builderz-labs-mission-control.json,
payloadcms-payload,42,1,3,17,0,37,30.7,https://github.com/payloadcms/payload.git,payloadcms-payload.html,payloadcms-payload.json,
directus-directus,89,0,1,2,2,14,23.4,https://github.com/directus/directus.git,directus-directus.html,directus-directus.json,
zce-caz,100,0,0,0,0,0,99.1,https://github.com/zce/caz.git,zce-caz.html,zce-caz.json,
TailAdmin-free-nextjs-admin-dashboard,98,0,0,1,1,0,0.3,https://github.com/TailAdmin/free-nextjs-admin-dashboard.git,TailAdmin-free-nextjs-admin-dashboard.html,TailAdmin-free-nextjs-admin-dashboard.json,
ant-design-ant-design-pro,100,0,0,0,1,1,20.1,https://github.com/ant-design/ant-design-pro.git,ant-design-ant-design-pro.html,ant-design-ant-design-pro.json,
stablyai-orca,0,8,16,12,10,20,10.2,https://github.com/stablyai/orca.git,stablyai-orca.html,stablyai-orca.json,
reactioncommerce-reaction,94,0,1,0,0,0,1.7,https://github.com/reactioncommerce/reaction.git,reactioncommerce-reaction.html,reactioncommerce-reaction.json,
aimeos-aimeos,100,0,0,0,0,5,0,https://github.com/aimeos/aimeos.git,aimeos-aimeos.html,aimeos-aimeos.json,
getmaxun-maxun,0,6,29,12,7,0,0,https://github.com/getmaxun/maxun.git,getmaxun-maxun.html,getmaxun-maxun.json,
CaviraOSS-OpenMemory,38,1,21,2,0,1,0,https://github.com/CaviraOSS/OpenMemory.git,CaviraOSS-OpenMemory.html,CaviraOSS-OpenMemory.json,
bytebase-dbhub,70,2,0,0,0,173,99.9,https://github.com/bytebase/dbhub.git,bytebase-dbhub.html,bytebase-dbhub.json,
promptfoo-promptfoo,0,10,30,3,9,491,30.7,https://github.com/promptfoo/promptfoo.git,promptfoo-promptfoo.html,promptfoo-promptfoo.json,
themeselection-materio-mui-nextjs-admin-template-free,96,0,0,2,0,0,0,https://github.com/themeselection/materio-mui-nextjs-admin-template-free.git,themeselection-materio-mui-nextjs-admin-template-free.html,themeselection-materio-mui-nextjs-admin-template-free.json,
superglue-ai-superglue,0,10,9,2,0,17,30.2,https://github.com/superglue-ai/superglue.git,superglue-ai-superglue.html,superglue-ai-superglue.json,
tractorjuice-arc-kit,99,0,0,0,2,12,99.9,https://github.com/tractorjuice/arc-kit.git,tractorjuice-arc-kit.html,tractorjuice-arc-kit.json,
jnMetaCode-agency-orchestrator,58,0,6,3,1,12,12.5,https://github.com/jnMetaCode/agency-orchestrator.git,jnMetaCode-agency-orchestrator.html,jnMetaCode-agency-orchestrator.json,
appwrite-appwrite,100,0,0,0,0,3,20,https://github.com/appwrite/appwrite.git,appwrite-appwrite.html,appwrite-appwrite.json,
graphile-starter,66,2,0,2,0,26,0.2,https://github.com/graphile/starter.git,graphile-starter.html,graphile-starter.json,
BearStudio-start-ui-web,100,0,0,0,0,1,10,https://github.com/BearStudio/start-ui-web.git,BearStudio-start-ui-web.html,BearStudio-start-ui-web.json,
Blazity-next-saas-starter,98,0,0,1,0,0,1,https://github.com/Blazity/next-saas-starter.git,Blazity-next-saas-starter.html,Blazity-next-saas-starter.json,
michaelshimeles-nextjs-starter-kit,98,0,0,1,1,1,0,https://github.com/michaelshimeles/nextjs-starter-kit.git,michaelshimeles-nextjs-starter-kit.html,michaelshimeles-nextjs-starter-kit.json,
